Title	URL	Assignees	Status	StartDate
Project Proposal	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/15			Sep 6, 2023
Bill of Materials, 3D printing library session	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/14			Sep 20, 2023
Project Culmination	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/2			Oct 3, 2023
Proof of purchase, KiCad	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/3			Oct 11, 2023
Finalizing build dimensions	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/4			Oct 16, 2023
Soldering, Laser Cutting	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/5			Oct 18, 2023
Estimated parts arrival	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/6			Nov 1, 2023
PCB Assembly and testing	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/7			Nov 8, 2023
Research and Code drafting (language selection)	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/8			Nov 11, 2023
Coding	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/9			Nov 15, 2023
Troubleshooting	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/10			Nov 22, 2023
Demonstration	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/11			Nov 29, 2023
Final Presentation	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/12			Dec 6, 2023
Build instructions (Hardware report)	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/13			Dec 13, 2023
Course Introduction and Schedule, Group Setup, Group Project Proposal	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/16			Jan 11, 2024
Hardware status by student A, declaration of authorship	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/17			Jan 18, 2024
Mobile status report by student B, laser cutting	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/18			Jan 25, 2024
Database status report by student C, 3D printing (incl. library session sign up)	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/19			Feb 1, 2024
Hardware connectivity status report by student D, firmware	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/20			Feb 8, 2024
Hardware/Firmware, Database, and Mobile App Independent Demonstration, all parts should work independently	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/21			Feb 15, 2024
KiCad, Laser cutting, 3D Printing continued	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/22			Feb 22, 2024
Poster Draft, unit and production testing (March 10th Midterm Grades Due)	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/23			Mar 7, 2024
Enclosure and integration status	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/24			Mar 14, 2024
Report Checklist	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/25			Mar 21, 2024
Presentation due, preliminary demonstrations	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/26			Mar 28, 2024
Troubleshooting, Project Demonstration	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/27			Apr 4, 2024
Group Final Presentation/Poster	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/28			Apr 11, 2024
Capstone Showcase	https://github.com/HassanNoorani5518/CaveExaminationBot/issues/29			Apr 18, 2024